chr,pos
S1A_1346587,1A,1.346587
S1A_7529921,1A,6.35326781006167
S1A_13042620,1A,37.7932129421907
S1A_18800154,1A,47.8720595971023
S1A_25053560,1A,50.5006535749392
S1A_32450017,1A,60.1400928867653
S1A_37814185,1A,69.680455537873
S1A_44731983,1A,70.9541574078698
S1A_138159582,1A,80.0467482470598
S1A_147294812,1A,85.015003182939
S1A_192816949,1A,86.4809488180398
S1A_479315518,1A,96.1388715892281
S1A_484380178,1A,97.1674544123072
S1A_489644398,1A,97.5810345326428
S1A_495488730,1A,100.562838547276
S1A_500667067,1A,105.833609410408
S1A_506611357,1A,109.903792048872
S1A_511818971,1A,110.737279078604
S1A_517929051,1A,119.777212034598
S1A_523004569,1A,127.348868916123
S1A_534089356,1A,133.983308522543
S1A_539213429,1A,144.569866156952
S1A_544436350,1A,152.059681268588
S1A_550415952,1A,156.283564930603
S1A_555711601,1A,156.559077432122
S1A_560953359,1A,157.034886756877
S1A_566757064,1A,157.373706161245
S1A_571795049,1A,157.373706211245
S1A_577479755,1A,157.993592265243
S1A_583495579,1A,172.607989537444
S1A_593558643,1A,206.736391398875
S1A_598620804,1A,209.655192845375
S1B_2081676,1B,2.081676
S1B_9303200,1B,968.930247042086
S1B_14434178,1B,980.778122951715
S1B_19873593,1B,985.923098461341
S1B_26124019,1B,996.608404961367
S1B_31357173,1B,1002.85595805941
S1B_37018495,1B,1003.24003247701
S1B_43283223,1B,1005.54419115118
S1B_48531473,1B,1009.47348568792
S1B_53657023,1B,1011.9339512558
S1B_58863251,1B,1015.51513494863
S1B_64108067,1B,1016.08479633409
S1B_69161916,1B,1019.59240372283
S1B_74711056,1B,1025.10055375401
S1B_80041905,1B,1025.31554976009
S1B_85872033,1B,1025.31554981009
S1B_91723180,1B,1028.55307814031
S1B_98134978,1B,1031.04545722953
S1B_104092236,1B,1038.58226645692
S1B_113622334,1B,1042.7844489589
S1B_121131474,1B,1045.42572239186
S1B_143273307,1B,1046.71240643196
S1B_150564138,1B,1047.34316685093
S1B_158849397,1B,1048.95828774523
S1B_176868177,1B,1050.86527245388
S1B_198401398,1B,1051.10703143166
S1B_208697408,1B,1051.34868097556
S1B_226619506,1B,1053.27771049444
S1B_272502943,1B,1054.44067198073
S1B_311485747,1B,1055.81372389772
S1B_317183330,1B,1057.33873712901
S1B_435466222,1B,1060.16660591539
S1B_440504104,1B,1060.7837939261
S1B_445917057,1B,1061.401277669
S1B_452478351,1B,1062.41277812368
S1B_461044715,1B,1063.06045049038
S1B_471842235,1B,1063.91044586032
S1B_477181933,1B,1065.3585825873
S1B_482285076,1B,1066.47808824165
S1B_487710967,1B,1067.19595968219
S1B_492943728,1B,1068.58482069117
S1B_498132093,1B,1069.73236666939
S1B_503961672,1B,1069.73236671939
S1B_513042926,1B,1069.73236676939
S1B_518705336,1B,1072.51576777756
S1B_529205129,1B,1073.95379963428
S1B_621383085,1B,1097.86679900604
S1B_626646984,1B,1099.72452442443
S1B_631793946,1B,1105.13830604866
S1B_637643380,1B,1114.02574852576
S1B_642695082,1B,1119.83633608879
S1B_648007873,1B,1131.04242111338
S1B_653252031,1B,1143.99082544056
S1B_658859369,1B,1151.0777691038
S1B_664471722,1B,1160.10061445444
S1B_669589180,1B,1173.05664548771
S1B_674602504,1B,1179.79329232406
S1B_679816179,1B,1190.00413476393
S1B_684984530,1B,1196.32449519508
S1B_690601679,1B,1200.80796691776
S1B_696838518,1B,1204.68457958725
